track_number,track_name,artist,track_id,streams,radio_playlist_id,seed_verified,radio_saves,spm_formula,spm
66,Joy Without Sound,TOKiMONSTA,1iBXitX6n5iiKI9U6eETKF,824669,,NO_DEDICATED_RADIO_title_search,,,
67,Wonderluv,IZCO,6w28PfNPGBrfuaHRrOJ0aE,225649,,NO_DEDICATED_RADIO_title_search,,,
68,Papi,"Junior Simba, Bouvier",5UEklGu4o74KKMtPPZ2zo8,58968,,NO_DEDICATED_RADIO_title_search,,,
69,turbo_viento,DJ GTi,7tZ7gh9JNLdDJgZEMKaxCI,4810,,NO_DEDICATED_RADIO_title_search,,,
70,Rampage,"Skream, ROKAR",7hOUH2urY7ZKFvVvmeSQPl,56010,,NO_DEDICATED_RADIO_title_search,,,
71,Kelsier,O'Flynn,5W8vqZAZF41QpYXckXlrlz,495469,,NO_DEDICATED_RADIO_title_search,,,
72,Himalaya,camoufly,6mRdQVSDsKkMm9qGPRstyR,479684,,NO_DEDICATED_RADIO_title_search,,,
73,Satisfied,"Honey Dijon, Jacob Lusk",4J40gFNhRlukzy1MgLjeNt,1206217,,NO_DEDICATED_RADIO_title_search,,,
74,Without Pause,Midland,2DcvId9f7WuBgqWG11KH4H,34345,,NO_DEDICATED_RADIO_title_search,,,
75,What You Say - ft umru,"Jacques Greene, umru",3BKxeAZVfa0b1xlWT68Aev,72220,,NO_DEDICATED_RADIO_title_search,,,
76,All For You,"NIGHT manoeuvres, Dot Major, ABSOLUTE.",3uyH0XgTF60yYaF4f4CRAA,36350,,NO_DEDICATED_RADIO_title_search,,,
77,If You,Ceri Wax,2PvVkI3P9Z2on1G1vNn2uB,291121,,NO_DEDICATED_RADIO_title_search,,,
78,Put That Banger On Next,"Ahadadream, Capo Lee",3Telt6qNs0A3XaUTfG3p1e,327595,,NO_DEDICATED_RADIO_title_search,,,
79,Danger,Nia Archives,0emddmBnIrINlvtvtuLkXI,1399433,,NO_DEDICATED_RADIO_title_search,,,
80,Passed Me By,Submotion Orchestra,0lxipmiNQfnrpxNMprU8vc,53456,,NO_DEDICATED_RADIO_title_search,,,
81,Thru My Mind,Sensu,2IOkHMQbAuAxcH6SqCqm1w,64325,,NO_DEDICATED_RADIO_title_search,,,
82,Teach You Desire,IDEMI,2i2BaQHXCWNFzDqxcyZVE0,839067,37i9dQZF1E8OlJANFLk2H1,YES,36,36/839067*1M,43
83,Girls first,Effy,4m6NR1LOz8wo6OmAHcgCwc,111473,37i9dQZF1E8KwnKoG59rzd,YES,7,7/111473*1M,63
84,Pay Attention to Me,Next To Blue,0euCs7l9u8japDamITC7Ab,15366,37i9dQZF1E8KY4sSaI73TV,YES,1,1/15366*1M,65
85,Caramel,"Fold, cu.rve",54WHA1qaKJrNRGrhbOveKB,52087,,NO_DEDICATED_RADIO_title_search,,,
86,Lonely,Fcukers,2hCM8z2UlTDQV9yXjga8Ox,3035402,,NO_DEDICATED_RADIO_title_search,,,
87,hellooooo????,"Gayance, Funkywhat, Magi Merlin",2WZLYyOKdZnhQFbVQ3BafF,20677,37i9dQZF1E8O6n7WoAsbuy,YES,0,0/20677*1M,0
88,Gimme A Break A Second,Dj Streaks,43MpbqyVNmucjUDki9eoS6,24132,37i9dQZF1E8LCDip1vlt7r,YES,0,0/24132*1M,0
89,Make Me Feel Better,Laurence Guy,37Udv1XxXBOjmAgTr6n2f6,283918,,NO_DEDICATED_RADIO_title_search,,,
90,Jump In,Noah Baine,7aDl834jw3OD93b4gWEYXx,318908,,NO_DEDICATED_RADIO_title_search,,,
91,Nowhere,Dukwa,659OYJrlLptTxt40ny2DTF,17642,,NO_DEDICATED_RADIO_title_search,,,
92,Uncanny Valley,Special Request,2f0tSLId7ddnYbMzBWKeIt,36079,37i9dQZF1E8P4hvQwKWoKA,YES,3,3/36079*1M,83
93,"Paris, Forever",Love Remain,0eAOmCWGWC7ag09EYi9lBN,75416,37i9dQZF1E8Np4aPNsphGV,YES,9,9/75416*1M,119
94,Nice + Slow,"Lamsi, Saidah",3LmJbf5DILmqAF7F7syDys,110525,,NO_DEDICATED_RADIO_title_search,,,
95,Through The Pain (feat. Pozer),"Chase & Status, Pozer",0AFTmRJtR1AorwJ6XlOn8I,2180774,37i9dQZF1E8MQewkAJxqzM,YES,118,118/2180774*1M,54
96,Plastic Camelia,Olof Dreijer,0ep3CnoP0dSWyFPUhQJU0D,140043,37i9dQZF1E8KM73Gxy7cz0,YES_SAME_SONG_DUPLICATE_SEED,1,1/140043*1M,7
97,4 us,Sonnee,5sCc7Jdb0REQRlo1qgtEeS,1685220,,NO_DEDICATED_RADIO_title_search,,,
98,DUMBB,Ben Hauke,7sbVfOxOFboMWTDyOzTbeC,14444,37i9dQZF1E8N4PFpbnQqwU,YES,0,0/14444*1M,0
99,Driving On Sand,"Shy One, Steve Spacek",1XKrSSrclVXSAsrTK0E6y9,68512,37i9dQZF1E8MnxU31aLMAP,YES,0,0/68512*1M,0
100,LOVE CALLS,NEZ,7dWN5JkVhhZSMPfRkGJ0kB,158885,37i9dQZF1E8NB6Wuq65TE3,YES,20,20/158885*1M,126
